species,gene_id,gene_symbol,biotype,overlap_count,analyses
human,ENSG00000103227,LMF1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103241,FOXF1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000103245,CIAO3,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103248,MTHFSD,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000103249,CLCN7,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103253,HAGHL,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000103254,ANTKMT,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103257,SLC7A5,protein_coding,3,MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103260,METRN,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103266,STUB1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103274,NUBP1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000103313,MEFV,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000103316,CRYM,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000103326,CAPN15,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103335,PIEZO1,protein_coding,5,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103479,RBL2,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000103490,,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000103494,RPGRIP1L,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000103495,MAZ,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103507,BCKDK,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103512,NOMO1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000103522,IL21R,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000103549,RNF40,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103855,CD276,protein_coding,3,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000103966,EHD4,protein_coding,5,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000104043,ATP8B4,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104142,VPS18,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104147,,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000104221,BRF2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104228,TRIM35,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104267,CA2,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104356,POP1,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104368,PLAT,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000104427,ZC2HC1A,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104435,STMN2,protein_coding,4,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104518,GSDMD,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104524,PYCR3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104529,EEF1D,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104537,ANXA13,protein_coding,4,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104549,SQLE,protein_coding,3,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated)
human,ENSG00000104723,TUSC3,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000104728,ARHGEF10,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104738,MCM4,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104774,MAN2B1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104783,KCNN4,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104805,NUCB1,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104814,MAP4K1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104853,CLPTM1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104856,RELB,protein_coding,6,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated)
human,ENSG00000104866,PPP1R37,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104879,CKM,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104880,ARHGEF18,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104883,PEX11G,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104884,ERCC2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104885,DOT1L,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104886,PLEKHJ1,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104894,CD37,protein_coding,3,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104897,SF3A2,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104903,LYL1,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104921,FCER2,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104936,DMPK,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104969,SGTA,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104972,LILRB1,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000104974,LILRA1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000104976,SNAPC2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104980,TIMM44,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104983,CCDC61,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000104998,IL27RA,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105048,TNNT1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000105063,PPP6R1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105088,OLFM2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105122,RASAL3,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105173,CCNE1,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000105220,GPI,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105221,AKT2,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105223,PLD3,protein_coding,5,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105229,PIAS4,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105246,EBI3,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000105281,SLC1A5,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000105289,TJP3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105298,CACTIN,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105321,CCDC9,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105325,FZR1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105327,BBC3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105329,TGFB1,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105355,PLIN3,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105357,MYH14,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105364,MRPL4,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105369,CD79A,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105398,SULT2A1,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105402,NAPA,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105409,ATP1A3,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105419,MEIS3,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105426,PTPRS,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105429,MEGF8,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105447,GRWD1,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105472,CLEC11A,protein_coding,4,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105486,LIG1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105499,PLA2G4C,protein_coding,2,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000105514,RAB3D,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000105516,DBP,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000105550,FGF21,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000105609,LILRB5,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105642,KCNN1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000105643,ARRDC2,protein_coding,1,Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000105655,ISYNA1,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105656,ELL,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000105662,CRTC1,protein_coding,3,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated); GWAS | human | Closest genes
human,ENSG00000105664,COMP,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000105671,DDX49,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105676,ARMC6,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000105697,HAMP,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000105699,LSR,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105701,FKBP8,protein_coding,2,Patient | GSE135251 | Fibrosis (upregulated); GWAS | human | Closest genes
human,ENSG00000105705,SUGP1,protein_coding,1,GWAS | human | Closest genes
human,ENSG00000105711,SCN1B,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105717,PBX4,protein_coding,2,MCD (external) | mouse | GSE205974 (external MCD); GWAS | human | Closest genes
human,ENSG00000105726,ATP13A1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105732,ZNF574,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105738,SIPA1L3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105808,RASA4,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105810,CDK6,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000105825,TFPI2,protein_coding,1,Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000105856,HBP1,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105889,STEAP1B,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000105953,OGDH,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000105963,ADAP1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000105967,TFEC,protein_coding,3,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000105989,WNT2,protein_coding,2,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000106003,LFNG,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000106004,HOXA5,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000106009,BRAT1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106066,CPVL,protein_coding,2,Patient | GSE130970 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106070,GRB10,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000106105,GARS1,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000106123,EPHB6,protein_coding,3,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106178,CCL24,protein_coding,3,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106211,HSPB1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106258,CYP3A5,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000106263,EIF3B,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000106266,SNX8,protein_coding,3,MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106290,TAF6,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106305,AIMP2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106330,MOSPD3,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106333,PCOLCE,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000106348,IMPDH1,protein_coding,5,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106366,SERPINE1,protein_coding,4,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated)
human,ENSG00000106397,PLOD3,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106404,CLDN15,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106537,TSPAN13,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000106565,TMEM176B,protein_coding,1,MCD (in-house) | mouse | MCD Week pooled (combined)
human,ENSG00000106605,BLVRA,protein_coding,1,Patient | GSE130970 | NAS high (upregulated)
human,ENSG00000106624,AEBP1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000106631,MYL7,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000106633,GCK,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106638,TBL2,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000106665,CLIP2,protein_coding,5,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106683,LIMK1,protein_coding,7,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106785,TRIM14,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106789,CORO2A,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000106853,PTGR1,protein_coding,2,MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000106868,SUSD1,protein_coding,4,Patient | GSE130970 | NAS high (upregulated); Patient | GSE130970 | Fibrosis (upregulated); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000106948,AKNA,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000107020,PLGRKT,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000107185,RGP1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107281,NPDC1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000107317,PTGDS,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107331,ABCA2,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107404,DVL1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107447,,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000107551,RASSF4,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000107581,EIF3A,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107614,TRDMT1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000107679,PLEKHA1,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000107731,UNC5B,protein_coding,5,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107738,VSIR,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000107771,CCSER2,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000107789,MINPP1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000107796,ACTA2,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000107815,TWNK,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107816,LZTS2,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107819,SFXN3,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000107862,GBF1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000107968,MAP3K8,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000108106,UBE2S,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000108179,PPIF,protein_coding,3,MCD (external) | mouse | GSE156918 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000108244,KRT23,protein_coding,3,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD); MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000108262,GIT1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000108370,RGS9,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000108509,CAMTA2,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000108515,ENO3,protein_coding,3,MCD (external) | mouse | GSE205974 (external MCD); Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000108551,RASD1,protein_coding,2,MCD (in-house) | mouse | MCD Week pooled (combined); MCD (external) | mouse | GSE156918 (external MCD)
human,ENSG00000108557,RAI1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000108592,FTSJ3,protein_coding,1,Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000108602,ALDH3A1,protein_coding,2,Patient | GSE135251 | NAS high (upregulated); Patient | GSE135251 | Fibrosis (upregulated)
human,ENSG00000108622,ICAM2,protein_coding,1,MCD (external) | mouse | GSE205974 (external MCD)
human,ENSG00000108641,B9D1,protein_coding,1,MCD (external) | mouse | GSE156918 (external MCD)
